cod_colegio,colegio,distrito,ubicación,estado_pronied,latitud,longitud,este,norte,estado_ejecución
1,N° 125 RICARDO PALMA,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/hTmtDV1XaFdY2WGJ6,OBSERVADO,-11.957771559935656,-77.0047309286719,281691.9078040237,8677324.352106204,Pendiente
2,N° 137 MIGUEL GRAU SEMINARIO,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/r5xB7436FZ2Ka1NK8,APROBADO CON ACTA,-11.984014168704354,-77.0131170159028,280799.5158755294,8674414.213599656,Ejecutado
3,N° 0086 JOSE MARIA ARGUEDAS,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/SMuD6shFjD4aCn38A,APROBADO SIN ACTA,-11.971520275392168,-77.00202429317133,281997.78475924453,8675805.332450576,Pendiente
4,N° 119 CANTO BELLO,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/zqPzwibjWknswq3AA,OBSERVADO,-11.977473785663264,-77.0183626877105,280222.8240868517,8675133.67255239,Pendiente
5,N° 152 JOSE CARLOS MARIATEGUI,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/pqqF5r7uN17JWyYT6,APROBADO SIN ACTA,-11.940064302133797,-76.98463481959782,283867.0571653781,8679299.257959805,Pendiente
6,N° 159 10 DE OCTUBRE,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/mzRJ4xfRDMbAkNup7,OBSERVADO,-11.947598504542547,-76.99006294722874,283281.692776868,8678461.435785007,Pendiente
7,N° 158 SANTA MARIA ,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/J6Yu73rVnZdzypVF7,APROBADO SIN ACTA,-11.967176253781622,-76.97669757839081,284753.20678847434,8676305.825413749,Pendiente
8,N° 161 MOISES COLONIA TRINIDAD,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/PXepVd1PeNiTqbRq9,APROBADO CON ACTA,-11.988378778270564,-77.01687634538122,280393.55338902166,8673928.317397885,En Ejecución
9,N° 0071 NUESTRA SEÑORA DE LA MERCED,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/QnN9166bwDpQzP688,APROBADO CON ACTA,-12.016657294799344,-77.01327358422607,280808.8586586723,8670802.425724566,En Ejecución
10,N° 1211 JOSE MARIA ARGUEDAS ALTAMIRANO,SANTA ANITA,https://goo.gl/maps/eTDhgxnxKwJrAaxaA,OBSERVADO,-12.046485865440603,-76.95847418038115,286800.7251669182,8667545.346940653,Pendiente
11,N° 1221 MARIA PARADO DE BELLIDO,SANTA ANITA,https://goo.gl/maps/TQTBRukvssWXUzeD8,OBSERVADO,-12.039371495544282,-76.96037393738898,286588.2223879688,8668330.98866183,Pendiente
12,N° 1245 JOSE CARLO MARIATEGUI,ATE,https://goo.gl/maps/1v7eKRBjLffZhTfFA,OBSERVADO,-12.015260694485898,-76.82085774413594,301763.5557033925,8671102.965418158,Pendiente
13,N° 0115 24 SEMILLLITA DEL SABER,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/WjAK5HrQgtieWSA79,APROBADO SIN ACTA,-11.938103081765115,-76.96665233003976,285824.576647716,8679530.22381224,En Ejecución
14,TUPAC AMARU II,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/tGLLeNqpvJedoVEw8,APROBADO CON ACTA,-11.938610902866179,-76.9802375147188,284344.96301480813,8679463.490354406,En Ejecución
15,27 DE MARZO,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/ZwQSEv1zXyZWrLpv5,OBSERVADO,-11.959853820456658,-76.97588708831273,284835.7013428146,8677116.59860336,Pendiente
16,PLANTELES DE APLICACIÓN DE UNE,LURIGANCHO,https://goo.gl/maps/393y2LXsmk2QiZmp6,APROBADO SIN ACTA,-11.944162760346279,-76.69903007911603,314982.1903727934,8679052.86741921,Pendiente
17,COLEGIO NACIONAL MIXTO HUAYCAN ,ATE,https://goo.gl/maps/pkZVJtquxjVuVUqC6,OBSERVADO,-12.014739082736726,-76.82688093742983,301107.2245646822,8671156.323022708,Pendiente
18,EDELMIRA DEL PANDO,ATE,https://goo.gl/maps/wQid8jkrKtpZMmXy5,OBSERVADO,-12.02519775796822,-76.91852752329284,291134.37220041634,8669931.292451823,Pendiente
19,N° 1046 JULIO RAMON RIBEYRO,EL AGUSTINO,https://goo.gl/maps/NrNH7CNydXgzCnGKA,OBSERVADO,-12.050567369959706,-77.00895094907625,281307.09222555615,8667054.029242888,Pendiente
20,N° 1173 JULIO CESAR TELLO,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/ijiv5n1tTf51Zk4r8,OBSERVADO,-12.018231855049754,-77.00442985702763,281773.33335466054,8670635.249639833,Pendiente
21,N° 0090 DANIEL ALCIDES CARRION,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/USUyR9KKR5Nhybis9,APROBADO CON ACTA,-12.024237717400851,-76.97897044160446,284550.9579785051,8669990.846366366,En Ejecución
22,NICOLAS COPERNICO,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/MA4RKWkZta8jMTB98,OBSERVADO,-11.976172518021835,-77.0028775894763,281908.5682282777,8675289.934092226,Pendiente
23,1174 VIRGEN DEL CARMEN ,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/j3jiWKcs7yVSr9oDA,APROBADO CON ACTA,-12.028372660949762,-77.01003109076244,281171.48773002776,8669508.810707612,En Ejecución
24,GRAN MARISCAL ANDRES A. CACERES DORREGARAY,EL AGUSTINO,https://goo.gl/maps/DwaeL3hGX4vGikoz5,OBSERVADO,-12.05819964434149,-77.00673383742982,281554.7153109114,8666211.355314303,Pendiente
25,1044 MARIA REICHE NEWMAN,EL AGUSTINO,https://goo.gl/maps/fnVkgz8Gvog1LPZh6,APROBADO CON ACTA,-12.044155654468518,-77.0027893085536,281972.9175582505,8667768.3312448,Pendiente
26,0055 MANUEL GONZALES PRADA,LURIGANCHO,https://goo.gl/maps/NShXNKEvZDMEv2tk7,APROBADO CON ACTA,-11.936811436830235,-76.71198562703725,313565.967275302,8679857.396848088,Pendiente
27,124 AUGUSTO SALAZAR BONDY,LURIGANCHO,https://goo.gl/maps/uCXwDYEhGKBJwojZ8,OBSERVADO,-11.934474860926512,-76.71607554168621,313118.8543643552,8680113.118937248,Pendiente
28,DIVINO NIÑO,ATE,https://goo.gl/maps/1nkqyZeTagXsgfBh6,OBSERVADO,-12.026993560061834,-76.83192108650607,300567.36189898883,8669796.958396474,Pendiente
29,1230 SULPICIO GARCIA PEÑALOZA,LA MOLINA,https://goo.gl/maps/NBUEcjWHUqhcHotb8,APROBADO CON ACTA,-12.095298578944988,-76.94160475767072,288676.0636451694,8662157.911027733,Pendiente
30,LAS BRISAS,LURIGANCHO,https://goo.gl/maps/9D7Hb8QBzXSSVCNm7,OBSERVADO,-11.99851104722155,-76.9213369214453,290807.8014029069,8672881.648639277,Pendiente
31,CESAR VALLEJO,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/eWHimkcbX7puj3h98,APROBADO CON ACTA,-11.938066375605931,-76.96649024353373,285842.2059833887,8679534.41031293,En Ejecución
32,0171-10,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/bsGTpyi5HPEz1HBV6,APROBADO SIN ACTA,-11.980482667503077,-76.97830831405528,284588.29639371875,8674832.367461922,Pendiente
33,116 ABRAHAN VALDELOMAR,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/xE8UYpGorLcnYZ4U7,OBSERVADO,-11.958181515915436,-77.00004082514033,282203.16284585465,8677282.69581328,Pendiente
34,0142 MARTIN DANIEL ALCIDES CARRION,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/Hgye6vEJPhq4wijg6,APROBADO CON ACTA,-11.957608471402835,-76.98983533128508,283314.45828988083,8677354.12071557,En Ejecución
35,1254 MARIA REICHE NEWMANN,ATE,https://goo.gl/maps/XHkANUoaW6Vrw14n7,OBSERVADO,-12.0431168288887,-76.9189948648973,291097.3254028881,8667948.454612486,Pendiente
36,6018 INMACULADA CONCEPCION - HUARANGAL,CIENEGUILLA,https://goo.gl/maps/rc9wauwKuxcE2b4u5,OBSERVADO,-12.105959915702682,-76.80788414031831,303242.59851801477,8661078.30752422,Pendiente
37,0076 MARIA AUXILIADORA,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/wbrCcydEGV5jqqr86,APROBADO CON ACTA,-12.009185376301907,-77.0172824748188,280366.1723878409,8671625.928978123,En Ejecución
38,1277 DIVINO SALVADOR,LURIGANCHO,https://goo.gl/maps/EUhQLRAbzNUA53GL7,OBSERVADO,-11.984700068937709,-76.94854479381439,287833.60591313837,8674388.838636,Pendiente
39,6039 FERNANDO CARBAJAL SEGURA,ATE,https://goo.gl/maps/cMXZ344ujfbWg18SA,OBSERVADO,-12.083402849749433,-76.98195961534144,284272.7157199526,8663442.513049662,Pendiente
40,CASA BLANCA DE JESUS,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/bJrHpSYmgFzg6TXNA,APROBADO SIN ACTA,-11.938501952821817,-76.9972232539757,282494.38051375374,8679462.252137829,En Ejecución
41,1199 MARISCAL RAMON CASTILLA,CHACLACAYO,https://goo.gl/maps/5z7wERx9RBnohfHTA,APROBADO CON ACTA,-11.988362155056599,-76.8176200403183,302096.5159540098,8674081.061975671,En Ejecución
42,0098 PERU JAPON,EL AGUSTINO,https://goo.gl/maps/HcHFdk48BWUzfesh8,OBSERVADO,-12.028236101202884,-76.99698731534143,282591.9611177438,8669534.27599671,Pendiente
43,JOSE CARLOS MARIATEGUI,EL AGUSTINO,https://goo.gl/maps/E1GTw1nJUiaGqdAC7,OBSERVADO,-12.042584042951104,-76.9973186913238,282567.4151588691,8667946.55592782,Pendiente
44,100,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/qRPjDtuhuQHNoB9Z6,APROBADO CON ACTA,-11.987637483190694,-77.01436024110443,280667.02274440974,8674012.338417498,Pendiente
45,0167 MARIA REICHE,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/6ajUGfdYyWSCHcJa6,OBSERVADO,-12.011166798940181,-77.03276565827295,278681.3949171258,8671394.293379813,Pendiente
46,0038 MEDALLA MILAGROSA,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/mA3RDhb817MPjEQy9,OBSERVADO,-12.006611458709761,-77.01820512883536,280263.59137421893,8671909.973686649,Pendiente
47,101 RAYITO DE LUZ,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/DRprQvbdxW3we2iH8,OBSERVADO,-12.031207412893329,-77.01267313678674,280886.0413730566,8669193.064933594,Pendiente
48,LOS PINOS,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/LXU67iFWMgyZLVg7A,OBSERVADO,-11.976715727759172,-77.0044167,281741.3495295644,8675228.6161971,Pendiente
49,169 SAN CARLOS,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/fYawnaGhEoZs61VS8,APROBADO SIN ACTA,-11.988819335557569,-77.00647278955802,281527.1206458864,8673887.841835108,Pendiente
50,150 HEROES DE BREÑA ,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/YFUw465WZbjocznc9,OBSERVADO,-11.987972825505716,-76.99413791839338,282870.01454908156,8673991.246875638,Pendiente
51,MI SEGUNDO HOGAR,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/g2Asvg5Bw8Kz7VY27,OBSERVADO,-11.96167335541007,-76.99867986682655,282354.2153013889,8676897.432239812,Pendiente
52,1204 VILLA JARDIN,SAN LUIS,https://goo.gl/maps/oYxELLR43KuBngdh9,APROBADO CON ACTA,-12.07770469966098,-76.99258622943756,283111.03931598173,8664064.552442718,Pendiente
53,SAN PEDRO Y SAN PABLO (A),LURIGANCHO,https://goo.gl/maps/LnHRw7j1AbuL1nPXA,OBSERVADO,-11.964239732460511,-76.93423927116463,289375.9415881374,8676663.452802876,Pendiente
54,SAN PEDRO Y SAN PABLO (B),LURIGANCHO,https://goo.gl/maps/ZDuPP26P7cdgaqG3A,OBSERVADO,-11.965823133659152,-76.93452341349392,289346.216504622,8676488.055253256,Pendiente
55,FELIPE SANTIAGO ESTENOS,CHACLACAYO,https://goo.gl/maps/xMqpVkzRoRvhhv888,APROBADO SIN ACTA,-11.978390892945141,-76.77808587236909,306395.1938411157,8675212.22518897,En Ejecución
56,203 VALLE DEL TRIUNFO,LURIGANCHO,https://goo.gl/maps/r7mLZbAhq3L13gcT7,APROBADO CON ACTA,-11.983794755571369,-76.94856703618454,287830.47561895486,8674488.982466115,Pendiente
57,0091 SANTA FE,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/RQbdiYyh39BGNsYcA,OBSERVADO,-11.997106890726766,-76.99691461104419,282574.88576852693,8672978.467010641,Pendiente
58,ESTRELLITAS DEL SABER,ATE,https://goo.gl/maps/xqGLJYDnuBFptQcP6,APROBADO CON ACTA,-12.00766888908281,-76.82884597670719,300888.0262718105,8671937.076533057,Ejecutado
59,126 JAVIER PEREZ DE CUELLAR,SAN JUAN DE LURIGANCHO,https://goo.gl/maps/hhGwAXxPJ6ph5k5VA,OBSERVADO,-11.99333345145141,-77.00210973925691,282005.99270668486,8673391.854362361,Pendiente
60,1169 ALMIRANTE MIGUEL GRAU SEMINARIO,EL AGUSTINO,https://goo.gl/maps/HihRsUyJF4AtrL466,APROBADO CON ACTA,-12.051487001961732,-77.00439353433703,281804.1387447981,8666955.911002507,Pendiente
