cod_colegio,meac,fecha,av_acumulado,av_diario,colegio_meac
2,1,2020-03-03,0.15,0.15,2-1
2,1,2020-03-04,0.3101,0.1601,2-1
2,1,2020-03-05,0.3861,0.076,2-1
2,1,2020-03-06,0.5499,0.1638,2-1
2,1,2020-03-07,0.7599,0.21,2-1
2,1,2020-03-08,0.9369,0.177,2-1
2,1,2020-03-09,0.9901,0.0532,2-1
2,1,2020-03-10,0.9901,0.0,2-1
2,1,2020-03-11,0.9901,0.0,2-1
2,1,2020-03-12,0.9901,0.0,2-1
2,1,2020-03-13,0.9901,0.0,2-1
2,1,2020-03-14,0.9901,0.0,2-1
2,1,2020-03-15,0.9901,0.0,2-1
2,2,2020-03-01,0.3101,0.3101,2-2
2,2,2020-03-02,0.6911,0.381,2-2
2,2,2020-03-03,0.7497,0.0586,2-2
2,2,2020-03-04,0.8001,0.0504,2-2
2,2,2020-03-05,0.8001,0.0,2-2
2,2,2020-03-06,0.8202,0.0201,2-2
2,2,2020-03-07,0.9003,0.0801,2-2
2,2,2020-03-08,0.9568,0.0565,2-2
2,2,2020-03-09,0.9901,0.0333,2-2
2,2,2020-03-10,0.9901,0.0,2-2
2,2,2020-03-11,0.9901,0.0,2-2
2,2,2020-03-12,0.9901,0.0,2-2
2,2,2020-03-13,0.9901,0.0,2-2
2,2,2020-03-14,0.9901,0.0,2-2
2,2,2020-03-15,0.9901,0.0,2-2
2,3,2020-03-01,0.4172,0.4172,2-3
2,3,2020-03-02,0.5525,0.1353,2-3
2,3,2020-03-03,0.7003,0.1478,2-3
2,3,2020-03-04,0.7698,0.0695,2-3
2,3,2020-03-05,0.8428,0.073,2-3
2,3,2020-03-06,0.8902,0.0474,2-3
2,3,2020-03-07,0.9199,0.0297,2-3
2,3,2020-03-08,0.95,0.0301,2-3
2,3,2020-03-09,0.9901,0.0401,2-3
2,3,2020-03-10,0.9901,0.0,2-3
2,3,2020-03-11,0.9901,0.0,2-3
2,3,2020-03-12,0.9901,0.0,2-3
2,3,2020-03-13,0.9901,0.0,2-3
2,3,2020-03-14,0.9901,0.0,2-3
2,3,2020-03-15,0.9901,0.0,2-3
2,4,2020-03-01,0.5599,0.5599,2-4
2,4,2020-03-02,0.7418,0.1819,2-4
2,4,2020-03-03,0.85,0.1082,2-4
2,4,2020-03-04,0.9697,0.1197,2-4
2,4,2020-03-05,0.9697,0.0,2-4
2,4,2020-03-06,0.9901,0.0204,2-4
2,4,2020-03-07,0.9901,0.0,2-4
2,4,2020-03-08,0.9901,0.0,2-4
2,4,2020-03-09,0.9901,0.0,2-4
2,4,2020-03-10,0.9901,0.0,2-4
2,4,2020-03-11,0.9901,0.0,2-4
2,4,2020-03-12,0.9901,0.0,2-4
2,4,2020-03-13,0.9901,0.0,2-4
2,4,2020-03-14,0.9901,0.0,2-4
2,4,2020-03-15,0.9901,0.0,2-4
2,5,2020-03-01,0.5257,0.5257,2-5
2,5,2020-03-02,0.8877,0.362,2-5
2,5,2020-03-03,0.95,0.0623,2-5
2,5,2020-03-04,0.9796,0.0296,2-5
2,5,2020-03-05,0.9796,0.0,2-5
2,5,2020-03-06,0.9878,0.0082,2-5
2,5,2020-03-07,0.9878,0.0,2-5
2,5,2020-03-08,0.9878,0.0,2-5
2,5,2020-03-09,0.9901,0.0023,2-5
