cod_colegio;meac;nivel;estado;tipo_terreno
1;1;Primaria;;
1;2;Primaria;;
1;3;Primaria;;
1;4;Primaria;;
1;5;Primaria;;
1;6;Primaria;;
1;7;Secundaria;;
1;8;Secundaria;;
1;9;Secundaria;;
2;1;Primaria;;Terreno Natural
2;2;Primaria;;Terreno Natural
2;3;Primaria;;Terreno Natural
2;4;Primaria;;Terreno Natural
2;5;Primaria;;Terreno Natural
2;6;Primaria;;Terreno Natural
2;7;Secundaria;;Terreno Natural
2;8;Secundaria;;Terreno Natural
2;9;Secundaria;;Terreno Natural
2;10;Secundaria;;Terreno Natural
2;11;Secundaria;;Terreno Natural
2;12;Secundaria;;Terreno Natural
3;1;Secundaria;;
3;2;Secundaria;;
3;3;Primaria;;
3;4;Primaria;;
4;1;Primaria;;
4;2;Primaria;;
4;3;Secundaria;;
4;4;Secundaria;;
4;5;Inicial;;
4;6;Inicial;;
4;7;Inicial;;
4;8;Inicial;;
4;9;Inicial;;
5;1;Primaria;;
5;2;Primaria;;
5;3;Primaria;;
5;4;Primaria;;
5;5;Primaria;;
6;1;Primaria;;
6;2;Primaria;;
6;3;Primaria;;
6;4;Primaria;;
6;5;Primaria;;
7;1;Inicial;;
7;2;Inicial;;
7;3;Primaria;;
7;4;Primaria;;
7;5;Secundaria;;
7;6;Secundaria;;
8;1;Inicial;;Losa
8;2;Inicial;;Terreno Natural
8;3;Inicial;;Terreno Natural
8;4;Primaria;;Terreno Natural
9;1;Primaria;;Losa
9;2;Primaria;;Losa
9;3;Primaria;;Losa
9;4;Primaria;;Losa
9;5;Primaria;;Losa
9;6;Primaria;;Losa
9;7;Primaria;;Losa
9;8;Primaria;;Losa
9;9;Secundaria;;Losa
9;10;Secundaria;;Losa
9;11;Secundaria;;Losa
9;12;Secundaria;;Losa
9;13;Secundaria;;Losa
9;14;Secundaria;;Losa
9;15;Secundaria;;Terreno Natural
9;16;Secundaria;;Terreno Natural
10;1;Primaria;;
10;2;Primaria;;
10;3;Primaria;;
10;4;Primaria;;
