date;contractual_date;programado_diario
01/03/2020;Día 01;3.703703704
02/03/2020;Día 02;3.703703704
03/03/2020;Día 03;3.703703704
04/03/2020;Día 04;3.703703704
05/03/2020;Día 05;3.703703704
06/03/2020;Día 06;3.703703704
07/03/2020;Día 07;3.703703704
08/03/2020;Día 08;3.703703704
09/03/2020;Día 09;3.703703704
10/03/2020;Día 10;3.703703704
11/03/2020;Día 11;3.703703704
12/03/2020;Día 12;3.703703704
13/03/2020;Día 13;3.703703704
14/03/2020;Día 14;3.703703704
15/03/2020;Día 15;3.703703704
16/03/2020;Día 16;3.703703704
17/03/2020;Día 17;3.703703704
18/03/2020;Día 18;3.703703704
19/03/2020;Día 19;3.703703704
20/03/2020;Día 20;3.703703704
21/03/2020;Día 21;3.703703704
22/03/2020;Día 22;3.703703704
23/03/2020;Día 23;3.703703704
24/03/2020;Día 24;3.703703704
25/03/2020;Día 25;3.703703704
26/03/2020;Día 26;3.703703704
27/03/2020;Día 27;3.703703704
28/03/2020;Día 28;3.703703704
29/03/2020;Día 29;3.703703704
30/03/2020;Día 30;3.703703704
31/03/2020;Día 31;3.703703704
01/04/2020;Día 32;3.703703704
02/04/2020;Día 33;3.703703704
03/04/2020;Día 34;3.703703704
04/04/2020;Día 35;3.703703704
05/04/2020;Día 36;3.703703704
06/04/2020;Día 37;3.703703704
07/04/2020;Día 38;3.703703704
08/04/2020;Día 39;3.703703704
09/04/2020;Día 40;3.703703704
10/04/2020;Día 41;3.703703704
11/04/2020;Día 42;3.703703704
12/04/2020;Día 43;3.703703704
13/04/2020;Día 44;3.703703704
14/04/2020;Día 45;3.703703704
15/04/2020;Día 46;3.703703704
16/04/2020;Día 47;3.703703704
17/04/2020;Día 48;3.703703704
18/04/2020;Día 49;3.703703704
19/04/2020;Día 50;3.703703704
20/04/2020;Día 51;3.703703704
21/04/2020;Día 52;3.703703704
22/04/2020;Día 53;3.703703704
23/04/2020;Día 54;3.703703704
24/04/2020;Día 55;3.703703704
25/04/2020;Día 56;3.703703704
26/04/2020;Día 57;3.703703704
27/04/2020;Día 58;3.703703704
28/04/2020;Día 59;3.703703704
29/04/2020;Día 60;3.703703704
30/04/2020;Día 61;3.703703704
01/05/2020;Día 62;3.703703704
02/05/2020;Día 63;3.703703704
03/05/2020;Día 64;3.703703704
04/05/2020;Día 65;3.703703704
05/05/2020;Día 66;3.703703704
06/05/2020;Día 67;3.703703704
07/05/2020;Día 68;3.703703704
08/05/2020;Día 69;3.703703704
09/05/2020;Día 70;3.703703704
10/05/2020;Día 71;3.703703704
11/05/2020;Día 72;3.703703704
12/05/2020;Día 73;3.703703704
13/05/2020;Día 74;3.703703704
14/05/2020;Día 75;3.703703704
15/05/2020;Día 76;3.703703704
16/05/2020;Día 77;3.703703704
17/05/2020;Día 78;3.703703704
18/05/2020;Día 79;3.703703704
19/05/2020;Día 80;3.703703704
20/05/2020;Día 81;3.703703704
