cod_colegio;meac;partida;%_incidencia;1/03/2020;2/03/2020;3/03/2020;4/03/2020;5/03/2020;6/03/2020;7/03/2020;8/03/2020;9/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020
55;1;TRASLADO Y ALMACENAJE DE MATERIAL (VERIFICACIÓN DE MATERIALES CON PACKING LIST);0.010974428;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;TRAZO, REPLANTEO Y NIVELACION DE PODIOS;0.018290713;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;ARMADO IZAJE PORTICOS + VIGAS PERIMETRALES P y T + MEDICION DE DIAGONALES + ANCLAJE DE PODIOS ;0.141949191;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;COLOCACIÓN VIGAS PISO SECUND. + CORREAS DE PISO;0.081113823;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;COLOCACIÓN DE VIGUESTAS TECHO + COL. SECUND.;0.060835367;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;TRASLADO Y NIVELACION DE PODIOS RAMPA;0.007316285;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;COLOCACIÓN DE VIGAS DE PISO EN RAMPA + PLATAFORMA DE DESCANSO;0.040556912;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;COLOCACION DE CORREAS PISO EN RAMPA +BARANDA;0.040556912;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;COLOCACION Y ASEGURAMIENTO DE PLANCHAS RAMPA + ANGULO (PLANCHA);0.040556912;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;"COLOCACION DE CANAL ""U"" + TRIPLAY FENOLICOS";0.039194384;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;INSTALACION DE PANEL MURO + LISTONES DE MADERA;0.072509611;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
55;1;INSTALACION DE PANEL TECHO;0.062790103;;;;;;;0.16;0.161;0.31;0.3131;0.3131;0.35;0.49;0.49;0.493830822
